StarID,RA,Dec,Spectrum
1,0.00025315,-19.49883745,K3V         
2,0.00033386,38.85928608,B9          
3,0.00055878,-51.89354612,F0V         
4,0.00066435,-40.5912244,G8III       
5,0.00235612,36.58593777,G5          
6,0.00241687,-50.8670736,F6V         
7,0.00248646,46.94000154,A2          
8,0.00272783,-35.96022482,K4III       
9,0.00277864,-22.5946806,K0III       
10,0.00321812,-0.36042119,K0          
11,0.00335392,50.79117384,K2          
12,0.00340663,-40.19232842,F3V         
13,0.00355446,38.30408636,G5          
14,0.0041967,23.52928397,G0          
15,0.00441571,8.00723437,K2          
16,0.00467572,-49.35226686,G8/K0III/IV 
17,0.00496195,13.31221083,F2V         
18,0.00529102,-44.29029741,G3IV        
19,0.00581658,-43.36179962,F3/F5V      
20,0.00640904,42.14149882,A0          
21,0.00653959,2.67547768,K2          
22,0.00661205,-10.46245445,F2          
23,0.00663131,26.91823821,F7.5IV-V    
24,0.00688503,12.26709303,K0          
25,0.00740312,-79.06183133,G6V         
26,0.00745743,-16.6969302,F3V         
27,0.0077709,54.30223774,A0          
28,0.00835911,25.84478059,F2          
29,0.00860593,59.55973786,G9III-IV    
30,0.00884815,-3.30636174,K2          
31,0.00896961,-25.62225277,K1III       
32,0.00901282,-56.83524773,K3V         
33,0.00901484,-40.69044664,K0/K1III    
34,0.0095247,-53.09766277,G1IV        
35,0.00955936,1.06619726,K0          
36,0.00977725,-77.0201405,A4V         
37,0.01011037,17.96895579,M:          
38,0.01052221,-66.68310336,G2IV/V      
39,0.01085545,0.22293899,K0          
40,0.01121903,-69.67580068,K2V         
41,0.01158422,62.17600484,G0          
42,0.01169487,-64.46582516,F2IV        
43,0.01174381,53.82218625,K5          
44,0.01199741,-45.42272731,G8III       
45,0.01211663,45.25333305,B9p SiEu    
46,0.01230592,-27.90754614,K2III       
47,0.01256994,-72.31824913,F2V         
48,0.01327342,23.53824873,F5          
49,0.01337575,16.98896499,K0          
50,0.01342478,30.39589283,A0          
51,0.01380665,36.78015328,G5          
52,0.01463132,-12.82867015,G3/G5V      
53,0.01469714,66.84796687,K2          
54,0.01479152,35.75272213,K5          
55,0.01487747,-50.446465,K4III       
56,0.01536811,-30.06417333,A0V         
57,0.01548753,17.86784193,K0          
58,0.01571485,35.31675386,F5          
59,0.01611947,-11.82353722,G2V         
60,0.01625762,-4.93211471,G5          
61,0.01653873,52.08056444,M0          
62,0.01735884,69.6034983,B9          
63,0.01743437,-5.83497569,F5          
64,0.01794397,-48.80985919,G8III       
65,0.01847678,53.16694253,K2          
66,0.01866665,-41.88742972,F5IV/V      
67,0.01870456,-5.87433293,K0          
68,0.019375,-20.70558648,G8III       
69,0.0194815,-0.07592034,F8V         
70,0.02013592,-11.96400015,F5V         
71,0.02106774,60.35529798,C5p         
72,0.02109675,19.74131648,G0          
73,0.02136213,-41.4873557,M1III       
74,0.02147626,-68.37102958,F6V         
75,0.02185629,70.9289578,F0          
76,0.02201097,49.98158501,G7II-III    
77,0.02225348,-50.33739907,M2III       
78,0.02243688,-70.12530771,K3II/III    
79,0.0231068,6.79149102,F0          
80,0.02324721,39.61081788,G5          
81,0.02327246,34.28185977,M2          
82,0.02379443,-16.94782618,M1.5V:      
83,0.02437471,49.01041081,A0          
84,0.0247784,30.73587929,G0IV        
85,0.02483977,-62.9231576,A2IV        
86,0.0250262,-33.79270439,F3V         
87,0.02536054,-72.60590348,G8III       
88,0.02601348,44.67544581,K0          
89,0.02639926,-45.34468907,K1IIICNIV   
90,0.02643178,28.42377416,K2III       
91,0.02662528,-77.06529438,K2III       
92,0.02668274,72.23660619,K0          
93,0.02694969,61.22280406,F0III       
94,0.02698211,-39.33667992,F2V         
95,0.02724887,14.63230674,G5          
96,0.02758431,73.61187664,Am...       
97,0.02799614,62.01815066,A4V         
98,0.02822459,-40.14866597,F5IV        
99,0.02844972,-0.21749947,G5          
100,0.02857615,24.2531808,K2III-IV    
101,0.02884595,42.36714821,B9IIIp Mn   
102,0.02914692,-16.53172119,K0/K1IV     
103,0.03022865,36.3503456,K5          
104,0.03024991,66.30600204,K0          
105,0.03033932,76.17561121,K5          
106,0.03034547,21.4621375,K3          
107,0.03039927,-3.02747891,B7III-IV    
108,0.03041276,-25.79769516,A9V         
109,0.03106957,21.02624872,K5          
110,0.03191233,26.00557721,K3          
111,0.03191951,15.52852839,F8          
112,0.03202437,-37.22984397,K1III       
113,0.03230298,12.65495324,F8          
